id,data
1,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1550}"
2,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1450}"
3,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1550}"
4,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 3250}"
5,"{'марка': 'Volkswagen', 'модель': 'Passat', 'тариф': 'комфорт+', 'аренда': 2600}"
6,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1750}"
7,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1750}"
8,"{'марка': 'Volkswagen', 'модель': 'Passat', 'тариф': 'комфорт+', 'аренда': 2500}"
9,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1550}"
10,"{'марка': 'Hyundai', 'модель': 'Elantra', 'тариф': 'комфорт', 'аренда': 2050}"
11,"{'марка': 'Hyundai', 'модель': 'Elantra', 'тариф': 'комфорт', 'аренда': 2050}"
12,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 1700}"
13,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1800}"
14,"{'марка': 'Honda', 'модель': 'Accord', 'тариф': 'комфорт+', 'аренда': 2500}"
15,"{'марка': 'Ford', 'модель': 'Mondeo', 'тариф': 'комфорт+', 'аренда': 2250}"
16,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1600}"
17,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1350}"
18,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1300}"
19,"{'марка': 'Nissan', 'модель': 'Qashqai', 'тариф': 'комфорт+', 'аренда': 3100}"
20,"{'марка': 'Subaru', 'модель': 'Outback', 'тариф': 'комфорт+', 'аренда': 3200}"
21,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1600}"
22,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1550}"
23,"{'марка': 'Citroen', 'модель': 'C4', 'тариф': 'комфорт', 'аренда': 2100}"
24,"{'марка': 'Skoda', 'модель': 'Octavia', 'тариф': 'комфорт+', 'аренда': 2100}"
25,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1500}"
26,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1250}"
27,"{'марка': 'Peugeot', 'модель': '508', 'тариф': 'комфорт+', 'аренда': 2050}"
28,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1350}"
29,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1200}"
30,"{'марка': 'Nissan', 'модель': 'Qashqai', 'тариф': 'комфорт+', 'аренда': 2550}"
31,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1200}"
32,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1700}"
33,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1450}"
34,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1500}"
35,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1750}"
36,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1750}"
37,"{'марка': 'Geely', 'модель': 'Emgrand', 'тариф': 'комфорт', 'аренда': 1950}"
38,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1800}"
39,"{'марка': 'Skoda', 'модель': 'Rapid', 'тариф': 'комфорт', 'аренда': 2300}"
40,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1300}"
41,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1250}"
42,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 1900}"
43,"{'марка': 'Volkswagen', 'модель': 'Passat', 'тариф': 'комфорт+', 'аренда': 2400}"
44,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1600}"
45,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 2400}"
46,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1600}"
47,"{'марка': 'Chery', 'модель': 'Tiggo 7', 'тариф': 'комфорт+', 'аренда': 3500}"
48,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1250}"
49,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1450}"
50,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1300}"
51,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1700}"
52,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1350}"
53,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1500}"
54,"{'марка': 'Nissan', 'модель': 'Qashqai', 'тариф': 'комфорт+', 'аренда': 2450}"
55,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1700}"
56,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1450}"
