id,mark,model,tariff,rent_cost
1,Lada,Granta,эконом,1550
2,Daewoo,Matiz,эконом,1450
3,Chevrolet,Spark,эконом,1550
4,Mitsubishi,Outlander,комфорт+,3250
5,Volkswagen,Passat,комфорт+,2600
6,Fiat,Panda,эконом,1750
7,Daewoo,Matiz,эконом,1750
8,Volkswagen,Passat,комфорт+,2500
9,Fiat,Panda,эконом,1550
10,Hyundai,Elantra,комфорт,2050
11,Hyundai,Elantra,комфорт,2050
12,Chery,Tiggo 4,комфорт,1700
13,Datsun,on-DO,эконом,1800
14,Honda,Accord,комфорт+,2500
15,Ford,Mondeo,комфорт+,2250
16,Kia,Rio,эконом,1600
17,Chevrolet,Spark,эконом,1350
18,Hyundai,Solaris,эконом,1300
19,Nissan,Qashqai,комфорт+,3100
20,Subaru,Outback,комфорт+,3200
21,Fiat,Panda,эконом,1600
22,Kia,Rio,эконом,1550
23,Citroen,C4,комфорт,2100
24,Skoda,Octavia,комфорт+,2100
25,Daewoo,Matiz,эконом,1500
26,Renault,Logan,эконом,1250
27,Peugeot,508,комфорт+,2050
28,Chevrolet,Spark,эконом,1350
29,Lada,Granta,эконом,1200
30,Nissan,Qashqai,комфорт+,2550
31,Chery,Tiggo 2,эконом,1200
32,Datsun,on-DO,эконом,1700
33,Lada,Granta,эконом,1450
34,Kia,Rio,эконом,1500
35,Datsun,on-DO,эконом,1750
36,Kia,Rio,эконом,1750
37,Geely,Emgrand,комфорт,1950
38,Fiat,Panda,эконом,1800
39,Skoda,Rapid,комфорт,2300
40,Geely,MK,эконом,1300
41,Lada,Granta,эконом,1250
42,Chery,Tiggo 4,комфорт,1900
43,Volkswagen,Passat,комфорт+,2400
44,Hyundai,Solaris,эконом,1600
45,Mitsubishi,Outlander,комфорт+,2400
46,Chevrolet,Spark,эконом,1600
47,Chery,Tiggo 7,комфорт+,3500
48,Suzuki,Alto,эконом,1250
49,Geely,MK,эконом,1450
50,Geely,MK,эконом,1300
51,Chery,Tiggo 2,эконом,1700
52,Hyundai,Solaris,эконом,1350
53,Lada,Granta,эконом,1500
54,Nissan,Qashqai,комфорт+,2450
55,Fiat,Panda,эконом,1700
56,Daewoo,Matiz,эконом,1450
57,Chevrolet,Spark,эконом,1550
58,Hyundai,Elantra,комфорт,1950
59,Mitsubishi,Outlander,комфорт+,2550
60,Chery,Tiggo 2,эконом,1650
61,Citroen,C4,комфорт,1900
62,Datsun,on-DO,эконом,1450
63,Chery,Tiggo 7,комфорт+,2600
64,Peugeot,508,комфорт+,2000
65,Citroen,C4,комфорт,2300
66,Geely,MK,эконом,1200
67,Datsun,on-DO,эконом,1450
68,Chery,Tiggo 7,комфорт+,3150
69,Toyota,Corolla,комфорт,1750
70,Kia,Rio,эконом,1450
71,Chevrolet,Spark,эконом,1450
72,Suzuki,Alto,эконом,1500
73,Lada,Granta,эконом,1550
74,Geely,Atlas,комфорт+,2200
75,Datsun,on-DO,эконом,1500
76,Chevrolet,Spark,эконом,1250
77,Suzuki,Alto,эконом,1550
78,Lada,Granta,эконом,1550
79,Daewoo,Matiz,эконом,1250
80,Hyundai,Solaris,эконом,1600
81,Toyota,Corolla,комфорт,2000
82,Volkswagen,Polo,эконом,1500
83,Skoda,Rapid,комфорт,1800
84,Honda,Civic,комфорт,1750
85,Fiat,Panda,эконом,1650
86,Fiat,Panda,эконом,1400
87,Fiat,Panda,эконом,1200
88,Honda,Accord,комфорт+,2400
89,Lada,Granta,эконом,1300
90,Volkswagen,Polo,эконом,1700
91,Chery,Tiggo 7,комфорт+,2800
92,Fiat,Panda,эконом,1250
93,Suzuki,Alto,эконом,1700
94,Geely,MK,эконом,1350
95,Geely,Atlas,комфорт+,2000
96,Datsun,on-DO,эконом,1450
97,Chery,Tiggo 2,эконом,1400
98,Opel,Astra,комфорт,1850
99,Chevrolet,Spark,эконом,1600
100,Geely,MK,эконом,1800
101,Geely,Emgrand,комфорт,1800
102,Mitsubishi,Outlander,комфорт+,3050
103,Renault,Logan,эконом,1250
104,Daewoo,Matiz,эконом,1450
105,Honda,Civic,комфорт,1900
106,Skoda,Rapid,комфорт,2250
107,Geely,Atlas,комфорт+,2250
108,Suzuki,Alto,эконом,1400
109,Renault,Logan,эконом,1350
110,Chevrolet,Spark,эконом,1400
111,Mitsubishi,Outlander,комфорт+,2350
112,Daewoo,Matiz,эконом,1700
113,Chery,Tiggo 2,эконом,1600
114,Hyundai,Elantra,комфорт,2150
115,Mazda,6,комфорт+,2100
116,Volkswagen,Passat,комфорт+,2500
117,Peugeot,508,комфорт+,2600
118,Renault,Logan,эконом,1250
119,Daewoo,Matiz,эконом,1550
120,Volkswagen,Jetta,комфорт,2100
121,Chevrolet,Spark,эконом,1800
122,Lada,Granta,эконом,1200
123,Chevrolet,Spark,эконом,1650
124,Datsun,on-DO,эконом,1500
125,Kia,Rio,эконом,1350
126,Kia,Rio,эконом,1350
127,Honda,Civic,комфорт,2300
128,Lada,Granta,эконом,1800
129,Peugeot,508,комфорт+,2750
130,Lada,Granta,эконом,1350
131,Lada,Granta,эконом,1600
132,Chevrolet,Spark,эконом,1350
133,Chevrolet,Spark,эконом,1450
134,Skoda,Rapid,комфорт,2100
135,Subaru,Outback,комфорт+,2400
136,Nissan,Qashqai,комфорт+,2100
137,Renault,Logan,эконом,1200
138,Chery,Tiggo 2,эконом,1800
139,Ford,Mondeo,комфорт+,2500
140,Chevrolet,Spark,эконом,1600
141,Daewoo,Matiz,эконом,1200
142,Chery,Tiggo 4,комфорт,2100
143,Geely,MK,эконом,1450
144,Mazda,3,комфорт,2050
145,Lada,Granta,эконом,1600
146,Volkswagen,Jetta,комфорт,2150
147,Datsun,on-DO,эконом,1200
148,Volkswagen,Polo,эконом,1600
149,Daewoo,Matiz,эконом,1450
150,Opel,Astra,комфорт,1650
151,Datsun,on-DO,эконом,1500
152,Chery,Tiggo 2,эконом,1200
153,Datsun,on-DO,эконом,1600
154,Mitsubishi,Outlander,комфорт+,2950
155,Honda,Accord,комфорт+,3100
156,Renault,Logan,эконом,1500
157,Volkswagen,Polo,эконом,1750
158,Kia,Rio,эконом,1450
159,Mitsubishi,Outlander,комфорт+,2350
160,Suzuki,Alto,эконом,1650
161,Nissan,Qashqai,комфорт+,3250
162,Fiat,Panda,эконом,1600
163,Renault,Logan,эконом,1350
164,Chery,Tiggo 4,комфорт,1750
165,Datsun,on-DO,эконом,1750
166,Honda,Civic,комфорт,2400
167,Chery,Tiggo 2,эконом,1450
168,Chery,Tiggo 4,комфорт,1950
169,Suzuki,Alto,эконом,1750
170,Chery,Tiggo 2,эконом,1750
171,Chery,Tiggo 4,комфорт,2300
172,Kia,Rio,эконом,1500
173,Datsun,on-DO,эконом,1550
174,Fiat,Panda,эконом,1400
175,Volkswagen,Polo,эконом,1450
176,Hyundai,Solaris,эконом,1200
177,Peugeot,408,комфорт,2100
178,Chery,Tiggo 7,комфорт+,2800
179,Fiat,Panda,эконом,1800
