taxist_id,date,orders_cnt,total_cost,total_service_fee,auto_id,tariff,rent_cost,driver_income,company_income
1,2024-09-01,12,8674,1734.8000000000002,1494,эконом,1200,5739.2,2934.8
1,2024-09-02,10,8136,1627.2000000000003,1494,эконом,1200,5308.799999999999,2827.2000000000003
1,2024-09-03,9,6361,1272.2,1494,эконом,1200,3888.8,2472.2
1,2024-09-04,13,9576,1915.2,1494,эконом,1200,6460.8,3115.2
1,2024-09-05,7,3664,732.8,1494,эконом,1200,1731.1999999999998,1932.8
1,2024-09-06,13,8288,1657.6000000000001,1494,эконом,1200,5430.4,2857.6000000000004
1,2024-09-07,11,6515,1303.0,1494,эконом,1200,4012.0,2503.0
1,2024-09-08,8,7690,1538.0,1494,эконом,1200,4952.0,2738.0
1,2024-09-09,9,3900,780.0,1494,эконом,1200,1920.0,1980.0
1,2024-09-10,13,7411,1482.2000000000003,1494,эконом,1200,4728.799999999999,2682.2000000000003
1,2024-09-12,13,9592,1918.4,1494,эконом,1200,6473.6,3118.4
1,2024-09-15,13,7456,1491.2,1494,эконом,1200,4764.8,2691.2
1,2024-09-16,11,6214,1242.8,1494,эконом,1200,3771.2,2442.8
1,2024-09-17,15,12693,2538.6000000000004,1494,эконом,1200,8954.4,3738.6000000000004
1,2024-09-19,13,10293,2058.6,1494,эконом,1200,7034.4,3258.6
1,2024-09-21,12,9685,1937.0,1494,эконом,1200,6548.0,3137.0
1,2024-09-24,10,6717,1343.4,1494,эконом,1200,4173.6,2543.4
1,2024-09-25,9,5795,1159.0,1494,эконом,1200,3436.0,2359.0
1,2024-09-26,10,6073,1214.6,1494,эконом,1200,3658.3999999999996,2414.6
1,2024-09-27,10,9084,1816.8000000000002,1494,эконом,1200,6067.2,3016.8
1,2024-09-30,14,13380,2676.0,1494,эконом,1200,9504.0,3876.0
2,2024-09-01,9,11879,2375.8,1798,комфорт,2000,7503.200000000001,4375.8
2,2024-09-02,7,6699,1339.8,1798,комфорт,2000,3359.2,3339.8
2,2024-09-03,5,3312,662.4,1798,комфорт,2000,649.5999999999999,2662.4
2,2024-09-05,6,6959,1391.8,1798,комфорт,2000,3567.2,3391.8
2,2024-09-06,2,1365,273.0,1798,комфорт,2000,-908.0,2273.0
2,2024-09-07,6,3967,793.4000000000001,1798,комфорт,2000,1173.6,2793.4
2,2024-09-10,6,7073,1414.6,1798,комфорт,2000,3658.3999999999996,3414.6
2,2024-09-11,3,2339,467.8,1798,комфорт,2000,-128.79999999999995,2467.8
2,2024-09-12,10,15748,3149.6000000000004,1798,комфорт,2000,10598.4,5149.6
2,2024-09-13,5,6061,1212.2,1798,комфорт,2000,2848.8,3212.2
2,2024-09-15,6,5928,1185.6000000000001,1798,комфорт,2000,2742.3999999999996,3185.6000000000004
2,2024-09-16,7,5974,1194.8000000000002,1798,комфорт,2000,2779.2,3194.8
2,2024-09-17,3,1978,395.6,1798,комфорт,2000,-417.5999999999999,2395.6
2,2024-09-19,10,9456,1891.2000000000003,1798,комфорт,2000,5564.799999999999,3891.2000000000003
2,2024-09-20,7,6314,1262.8000000000002,1798,комфорт,2000,3051.2,3262.8
2,2024-09-21,7,7742,1548.4,1798,комфорт,2000,4193.6,3548.4
2,2024-09-22,13,17167,3433.4,1798,комфорт,2000,11733.6,5433.4
2,2024-09-23,7,4510,902.0,1798,комфорт,2000,1608.0,2902.0
2,2024-09-24,9,10650,2130.0,1798,комфорт,2000,6520.0,4130.0
2,2024-09-25,5,8520,1704.0,1798,комфорт,2000,4816.0,3704.0
2,2024-09-26,8,10218,2043.6,1798,комфорт,2000,6174.4,4043.6
2,2024-09-27,11,12656,2531.2000000000003,1798,комфорт,2000,8124.799999999999,4531.200000000001
2,2024-09-28,10,10580,2116.0,1798,комфорт,2000,6464.0,4116.0
2,2024-09-29,5,4115,823.0,1798,комфорт,2000,1292.0,2823.0
2,2024-09-30,5,6542,1308.4,1798,комфорт,2000,3233.6000000000004,3308.4
3,2024-09-01,8,11945,2389.0,850,комфорт,2300,7256.0,4689.0
3,2024-09-03,6,8117,1623.4,850,комфорт,2300,4193.6,3923.4
3,2024-09-04,8,11023,2204.6,850,комфорт,2300,6518.4,4504.6
3,2024-09-05,13,18823,3764.6000000000004,850,комфорт,2300,12758.4,6064.6
3,2024-09-06,10,9757,1951.4,850,комфорт,2300,5505.6,4251.4
3,2024-09-07,9,11497,2299.4,850,комфорт,2300,6897.6,4599.4
3,2024-09-08,3,3261,652.2,850,комфорт,2300,308.8000000000002,2952.2
3,2024-09-09,9,8804,1760.8,850,комфорт,2300,4743.2,4060.8
3,2024-09-10,13,17103,3420.6000000000004,850,комфорт,2300,11382.4,5720.6
3,2024-09-12,7,8478,1695.6000000000001,850,комфорт,2300,4482.4,3995.6000000000004
3,2024-09-13,10,15132,3026.4,850,комфорт,2300,9805.6,5326.4
3,2024-09-16,13,18862,3772.4,850,комфорт,2300,12789.6,6072.4
3,2024-09-18,7,5684,1136.8,850,комфорт,2300,2247.2,3436.8
3,2024-09-20,6,7713,1542.6000000000001,850,комфорт,2300,3870.3999999999996,3842.6000000000004
3,2024-09-22,9,9376,1875.2,850,комфорт,2300,5200.8,4175.2
3,2024-09-23,9,8313,1662.6,850,комфорт,2300,4350.4,3962.6
3,2024-09-24,10,9598,1919.6,850,комфорт,2300,5378.4,4219.6
